City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Quelimane,MZ,80.6,light rain,-17.8786,36.8883,Hotel Flamingo
484,Innisfail,AU,76.6,overcast clouds,-17.5333,146.0333,Moondarra Motel
486,Galle,LK,75.88,overcast clouds,6.0367,80.217,Amangalla
488,Nabire,ID,77.16,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
491,Dzaoudzi,YT,80.6,moderate rain,-12.7887,45.2699,Le Rocher
507,Balsas,BR,81.52,heavy intensity rain,-7.5325,-46.0356,Novo Hotel
510,Palmas,BR,87.8,light rain,-10.2128,-48.3603,Hotel Lago da Palma
511,Kalmunai,LK,75.69,moderate rain,7.4167,81.8167,VS Villa
512,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Taloa Heights
513,Tomatlan,MX,87.17,clear sky,19.9333,-105.25,Norma franco
519,Mersing,MY,77.0,overcast clouds,2.4312,103.8405,Timotel Hotel
523,Macapa,BR,82.4,few clouds,0.0389,-51.0664,Atalanta Hotel
527,Bougouni,ML,82.74,clear sky,11.417,-7.479,Non Stop
533,Ambanja,MG,76.64,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
535,Palu,ID,76.08,clear sky,-0.8917,119.8707,Hotel Santika Palu
536,Puerto Carreno,CO,87.12,moderate rain,6.189,-67.4859,Casa Hotel Victoria
538,Petatlan,MX,86.0,few clouds,17.5167,-101.2667,Hotel California Petatlán
540,Terra Santa,BR,88.41,broken clouds,-2.1042,-56.4869,Hotel Sarah
541,Teshie,GH,80.6,clear sky,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
546,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
555,Porto Novo,BJ,80.6,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
564,Saint-Georges,GD,84.2,scattered clouds,12.0564,-61.7485,Siesta Hotel
568,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
571,Guaruja,BR,84.0,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
574,Wahiawa,US,80.6,broken clouds,21.5028,-158.0236,Aloha Wahiawa
576,Sao Pedro,BR,80.56,moderate rain,-22.5486,-47.9139,Hotel Fazenda Samambaia
580,Vila Velha,BR,80.6,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
584,Katobu,ID,76.39,moderate rain,-4.9408,122.5276,La Ode Husein
587,San Juan Evangelista,MX,77.0,scattered clouds,17.9,-95.1333,Salon INAPAM San Juan Evangelista
590,Tual,ID,83.5,broken clouds,-5.6667,132.75,Grand Vilia Hotel
596,Cartagena,CO,86.0,broken clouds,10.3997,-75.5144,Costa Del Sol
598,Itaituba,BR,87.8,very heavy rain,-4.2761,-55.9836,Hotel Campos
599,Kingston,JM,84.99,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
602,Puerto Escondido,MX,80.6,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
608,Shirgaon,IN,76.71,clear sky,19.7,72.7,Samarth Krupa Agro Tourism Farm
609,Biak,ID,76.89,scattered clouds,-0.9131,122.8766,Penginapan Kim
610,Nortelandia,BR,88.05,light rain,-14.4547,-56.8028,Hotel Karysmã
627,Gboko,NG,84.42,clear sky,7.3179,8.9951,Bays Garden Hotel
629,Thabazimbi,ZA,75.99,broken clouds,-24.5917,27.4116,eagels rest
631,Coahuayana,MX,80.6,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
632,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
634,Ambon,ID,84.99,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
639,Kismayo,SO,77.25,clear sky,-0.3582,42.5454,Agan-Hotel
643,Monitos,CO,86.47,scattered clouds,8.25,-76.05,Finca Aleman Gonzalez
647,Tahoua,NE,80.6,clear sky,14.8888,5.2692,Bungalows Guesthouse
648,Boa Vista,BR,77.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
650,Treinta Y Tres,UY,87.26,broken clouds,-33.2333,-54.3833,Jardines Apart-Hotel
651,Trairi,BR,79.75,scattered clouds,-3.2778,-39.2689,janelas do mar
654,Kerema,PG,77.92,overcast clouds,-7.9631,145.7785,Frena Lodge
658,Kupang,ID,78.62,moderate rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
666,Sabancuy,MX,78.3,scattered clouds,18.9667,-91.1833,pulpo
669,Kota Bahru,MY,75.2,few clouds,6.1333,102.2386,Grand Riverview Hotel
