City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Bundaberg,AU,-24.85,152.35,72.0,88,90,10.36,overcast clouds
125,Tiksi,RU,71.6872,128.8694,-15.12,87,100,12.91,overcast clouds
126,Westport,US,41.1415,-73.3579,39.2,41,1,11.5,clear sky
127,Haines Junction,CA,60.7522,-137.5108,14.0,92,97,2.3,overcast clouds
128,Minab,IR,27.1467,57.0801,48.2,20,0,6.91,clear sky
129,Voiron,FR,45.3639,5.5921,30.2,80,90,4.61,overcast clouds
130,Cap Malheureux,MU,-19.9842,57.6142,78.01,85,0,3.0,light rain
131,Alcala La Real,ES,37.4614,-3.923,35.01,93,0,2.3,clear sky
132,Hobyo,SO,5.3505,48.5268,74.64,73,10,21.21,clear sky
133,Buluang,PH,13.3068,123.3425,73.0,86,100,8.86,overcast clouds
134,Bambous Virieux,MU,-20.3428,57.7575,78.8,94,75,6.91,light rain
135,Kapaa,US,22.0752,-159.319,78.8,73,75,13.8,light rain
136,Kodiak,US,57.79,-152.4072,39.2,81,90,12.66,light rain
137,Hokitika,NZ,-42.7167,170.9667,61.02,77,55,3.94,broken clouds
138,Saint-Philippe,RE,-21.3585,55.7679,78.8,89,20,16.11,light rain
139,Pirgos,GR,35.1167,25.7178,63.0,92,100,9.98,overcast clouds
140,Mount Gambier,AU,-37.8333,140.7667,73.4,43,100,11.5,overcast clouds
141,Morant Bay,JM,17.8815,-76.4093,86.0,66,20,10.36,few clouds
142,Puerto Ayora,EC,-0.7393,-90.3518,84.2,54,0,18.41,clear sky
143,Santa Barbara,US,34.7333,-120.0343,72.0,26,1,3.44,clear sky
144,Ouegoa,NC,-20.35,164.4333,82.85,78,99,5.46,overcast clouds
145,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,59,20,20.71,few clouds
146,Barrow,US,71.2906,-156.7887,3.2,85,90,5.75,mist
147,Caravelas,BR,-17.7125,-39.2481,79.25,79,13,8.86,few clouds
148,Maryborough,AU,-25.5333,152.7,73.0,89,84,5.01,broken clouds
149,Kjollefjord,NO,70.9457,27.3465,12.2,73,0,16.11,clear sky
150,Lasa,IT,46.6166,10.7002,21.99,67,0,9.22,clear sky
151,Orange Cove,US,36.6244,-119.3137,55.99,88,1,6.91,clear sky
152,Torbay,CA,47.6666,-52.7314,32.0,100,90,21.85,light snow
153,Adrar,MR,20.5022,-10.0711,57.72,34,33,13.33,scattered clouds
154,Anadyr,RU,64.75,177.4833,-31.0,68,0,8.95,clear sky
155,Carnarvon,AU,-24.8667,113.6333,75.2,88,0,17.27,clear sky
156,Loreto,MX,22.2667,-101.9667,67.23,23,0,11.68,clear sky
157,Vostok,RU,46.4856,135.8833,-12.08,90,100,4.94,overcast clouds
158,Ostrovnoy,RU,68.0531,39.5131,5.47,92,20,11.3,few clouds
159,Zatoka,UA,46.0725,30.4654,32.0,86,100,6.93,overcast clouds
160,Buchanan,LR,5.8808,-10.0467,77.0,94,75,7.52,broken clouds
161,South Venice,US,27.0531,-82.4243,57.99,67,1,6.91,clear sky
162,Ampanihy,MG,-24.7,44.75,79.43,68,1,5.55,clear sky
163,Paratinga,BR,-12.6906,-43.1842,85.82,52,42,0.6,scattered clouds
164,Havelock,US,34.8791,-76.9013,51.01,43,1,9.22,clear sky
165,Norman Wells,CA,65.282,-126.8329,15.8,86,75,2.82,broken clouds
166,Eydhafushi,MV,5.1033,73.0708,81.34,76,100,10.87,overcast clouds
167,Bhatkal,IN,13.9667,74.5667,78.04,69,48,4.9,scattered clouds
168,Avarua,CK,-21.2078,-159.775,84.2,74,20,11.5,light rain
169,Boyolangu,ID,-8.1181,111.8935,75.42,86,100,1.16,overcast clouds
170,Ongandjera,NA,-17.8833,15.0667,75.63,43,100,10.33,overcast clouds
171,Guerrero Negro,MX,27.9769,-114.0611,72.27,21,0,1.77,clear sky
172,Mae Hong Son,TH,19.3003,97.9685,67.3,80,10,1.57,clear sky
173,Gloversville,US,43.0528,-74.3438,24.01,93,1,10.36,clear sky
174,Ballina,AU,-28.8667,153.5667,68.0,88,10,6.91,clear sky
175,Arman,RU,59.7,150.1667,-3.87,82,100,8.79,overcast clouds
176,Isangel,VU,-19.55,169.2667,80.6,94,90,6.91,overcast clouds
177,Atasu,KZ,48.6814,71.6433,9.52,85,87,9.24,overcast clouds
178,Port Pirie,AU,-33.1833,138.0167,77.0,29,37,6.91,scattered clouds
179,Surt,LY,31.2089,16.5887,72.54,33,1,18.88,clear sky
180,Agadir,MA,30.4202,-9.5982,53.6,71,20,11.5,few clouds
181,Vardo,NO,70.3705,31.1107,19.4,68,75,17.27,light snow
182,Chara,RU,56.9064,118.2631,-15.39,74,100,1.34,overcast clouds
183,Dingle,PH,10.9995,122.6711,74.25,91,100,13.38,light rain
184,Tikrit,IQ,34.6071,43.6782,53.13,42,0,7.31,clear sky
185,Nacala,MZ,-14.5428,40.6728,79.02,85,60,6.69,broken clouds
